Time,EacToday(kWh),EacTotal(kWh),Ppv(W),EpvToday(kWh),EpvTotal(kWh),TimeTotal(S),IacR(A),IacS(A),IacT(A),PacR(VA),PacS(VA),PacT(VA),VacR(V),VacS(V),VacT(V),Pac(W),INVTemp(℃),AMTemp1(℃),BTTemp(℃),OUTTemp(℃),AMTemp2(℃),ReactPower(Var),ReactPowerMax(Var),ReactPower_Total(kWh)
2025-03-01 06:52:01,0.0,323720.4,405.7,0.0,632154.1,33110887.5,0.0,0.0,0.0,0.0,0.0,0.0,245.1,245.6,245.3,0.0,25.3,23.9,32.3,0,23.2,0.0,38750,1228.8
2025-03-01 06:57:01,0.0,323720.4,106.4,0.0,632154.1,33110986.0,0.5,0.6,0.6,122.3,146.9,146.7,244.6,244.9,244.6,104.9,26.5,25.4,33.1,0,23.5,1533.5,38750,1228.8
2025-03-01 07:02:01,0.0,323720.4,106.8,0.0,632154.1,33111287.0,0.7,0.7,0.6,171.2,171.5,146.8,244.6,245.1,244.8,105.2,27.6,27.1,34.0,0,23.9,1476.3,38750,1228.9
2025-03-01 07:07:01,0.0,323720.4,418.7,0.0,632154.1,33111584.5,0.8,0.8,0.8,195.2,195.6,195.2,244.1,244.5,244.1,412.5,28.8,28.6,35.2,0,24.0,1471.0,38750,1229.0
2025-03-01 07:12:01,0.0,323720.4,752.1,0.0,632154.1,33111887.0,1.4,1.6,1.7,340.3,389.7,413.2,243.1,243.6,243.1,740.9,29.8,30.0,36.0,0,24.2,1329.8,38750,1229.2
2025-03-01 07:17:02,0.1,323720.5,1231.4,0.0,632154.1,33112183.5,1.7,1.9,1.9,412.7,461.8,460.9,242.8,243.1,242.6,1213.0,30.7,31.2,37.1,0,24.4,1021.2,38750,1229.3
2025-03-01 07:22:02,0.2,323720.6,1702.4,0.2,632154.3,33112486.0,2.5,2.5,2.6,614.2,616.0,639.8,245.7,246.4,246.1,1676.9,31.6,31.8,38.3,0,24.6,307.2,38750,1229.3
2025-03-01 07:27:02,0.4,323720.8,2287.9,0.3,632154.4,33112785.5,3.8,3.8,3.8,932.5,934.0,933.2,245.4,245.8,245.6,2253.6,32.6,32.5,39.1,0,24.9,-0.5,38750,1229.3
2025-03-01 07:32:03,0.6,323721.0,3047.8,0.8,632154.9,33113082.5,4.6,4.6,4.7,1129.3,1132.9,1155.7,245.5,246.3,245.9,3002.1,33.7,33.2,40.5,0,25.2,0.4,38750,1229.3
2025-03-01 07:37:03,0.9,323721.3,3963.2,1.2,632155.3,33113387.5,5.5,5.5,5.6,1355.7,1356.3,1379.2,246.5,246.6,246.3,3903.8,35.0,33.8,41.2,0,25.6,-0.1,38750,1229.3
2025-03-01 07:42:03,1.3,323721.7,4934.7,1.9,632156.0,33113683.0,6.9,6.9,7.0,1709.8,1706.3,1731.1,247.8,247.3,247.3,4860.7,34.8,34.0,40.9,0,26.1,-0.9,38750,1229.3
2025-03-01 07:47:03,1.8,323722.2,6021.8,2.5,632156.6,33113987.0,8.3,8.4,8.4,2056.7,2084.0,2078.1,247.8,248.1,247.4,5931.5,36.8,34.6,43.4,0,26.5,-0.1,38750,1229.3
2025-03-01 07:52:04,2.3,323722.7,7283.3,3.7,632157.8,33114289.5,9.9,9.9,10.0,2452.2,2457.1,2478.0,247.7,248.2,247.8,7174.1,39.2,35.2,45.7,0,26.9,-0.6,38750,1229.3
2025-03-01 07:57:04,3.0,323723.4,8500.6,5.0,632159.1,33114589.0,11.4,11.5,11.6,2830.6,2864.6,2881.4,248.3,249.1,248.4,8373.1,41.9,35.9,48.4,0,27.3,-2.4,38750,1229.3
2025-03-01 08:02:04,3.7,323724.1,9713.8,6.3,632160.4,33114885.0,13.0,13.1,13.1,3229.2,3259.2,3254.0,248.4,248.8,248.4,9568.1,44.8,36.6,50.6,0,27.7,-1.6,38750,1229.3
2025-03-01 08:07:05,4.6,323725.0,10909.5,8.0,632162.1,33115184.5,14.5,14.5,14.6,3597.4,3606.1,3626.6,248.1,248.7,248.4,10745.9,48.2,37.2,53.5,0,28.2,-1.4,38750,1229.3
2025-03-01 08:12:05,5.6,323726.1,12470.8,9.9,632164.0,33115488.5,16.6,16.7,16.7,4101.8,4143.2,4134.9,247.1,248.1,247.6,12283.8,52.1,37.9,56.8,0,28.9,-0.3,38750,1229.3
2025-03-01 08:17:05,6.7,323727.2,13859.7,12.1,632166.2,33115788.0,18.4,18.5,18.6,4546.6,4576.9,4599.7,247.1,247.4,247.3,13651.9,56.0,38.7,59.8,0,29.5,2.1,38750,1229.3
2025-03-01 08:22:05,7.9,323728.4,15273.9,14.3,632168.4,33116086.0,20.4,20.4,20.5,5018.4,5036.7,5057.3,246.0,246.9,246.7,15044.8,50.1,39.5,52.2,0,30.2,0.3,38750,1229.3
2025-03-01 08:27:06,9.3,323729.8,17419.5,16.9,632171.0,33116390.0,23.3,23.5,23.5,5729.4,5788.0,5785.7,245.9,246.3,246.2,17158.3,55.3,40.1,58.3,0,30.7,-0.3,38750,1229.3
2025-03-01 08:32:06,10.9,323731.3,18996.8,20.0,632174.1,33116687.0,25.1,25.2,25.3,6169.5,6219.3,6244.0,245.8,246.8,246.8,18711.9,50.1,40.7,50.1,0,31.2,-1.0,38750,1229.3
2025-03-01 08:37:06,12.6,323733.0,20874.3,23.1,632177.2,33116983.5,27.9,27.9,28.1,6835.5,6868.9,6915.4,245.0,246.2,246.1,20561.2,56.2,41.1,58.6,0,31.6,1.0,38750,1229.3
2025-03-01 08:42:06,14.5,323734.9,22706.1,26.8,632180.9,33117289.0,30.7,30.8,30.9,7521.5,7579.8,7610.6,245.0,246.1,246.3,22700.2,51.2,41.6,51.0,0,32.5,1.1,38750,1229.3
2025-03-01 08:43:32,15.0,323735.5,22821.0,27.8,632181.9,33117371.0,30.4,30.5,30.6,7444.9,7493.8,7524.5,244.9,245.7,245.9,22478.7,52.9,41.7,53.9,0,32.6,1.5,38750,1229.3
2025-03-01 08:48:32,17.1,323737.6,24824.9,31.8,632185.9,33117677.5,33.4,33.5,33.7,8189.6,8251.0,8307.0,245.2,246.3,246.5,24664.8,52.3,42.1,47.2,0,33.1,0.0,38750,1229.3
2025-03-01 08:53:32,19.2,323739.7,26649.5,36.0,632190.1,33117975.5,35.8,36.0,36.2,8745.9,8834.4,8890.7,244.3,245.4,245.6,26479.5,55.8,42.3,56.6,0,33.5,-0.4,38750,1229.3
2025-03-01 08:58:33,21.6,323742.0,28549.6,40.5,632194.6,33118272.5,38.8,38.9,39.2,9451.6,9534.3,9604.0,243.6,245.1,245.0,28472.9,49.6,42.4,45.9,0,33.7,-0.6,38750,1229.3
2025-03-01 09:03:33,24.1,323744.5,29513.9,45.4,632199.5,33118575.5,39.5,39.8,39.9,9693.3,9802.7,9831.3,245.4,246.3,246.4,29365.3,59.5,42.5,59.7,0,33.9,1.6,38750,1229.3
